country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-02-2026 12:00:00",14.675886,77.593027,OZONE,17,17,17
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-02-2026 12:00:00",13.204880,79.097889,PM2.5,48,69,54
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","14-02-2026 12:00:00",14.465052,78.824187,NO2,19,23,21
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","14-02-2026 12:00:00",14.465052,78.824187,NH3,3,3,3
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","14-02-2026 12:00:00",24.762518,84.982348,SO2,4,22,7
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","14-02-2026 12:00:00",25.697189,85.245900,CO,8,48,41
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","14-02-2026 12:00:00",25.560083,87.553265,PM10,55,99,73
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","14-02-2026 12:00:00",25.560083,87.553265,SO2,14,22,18
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","14-02-2026 12:00:00",26.0881305,87.93840336,PM2.5,58,97,75
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","14-02-2026 12:00:00",26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","14-02-2026 12:00:00",27.308328,84.531742,PM10,98,160,115
India,Bihar,Munger,"Town Hall, Munger - BSPCB","14-02-2026 12:00:00",25.376776,86.471523,PM2.5,28,87,55
India,Bihar,Munger,"Town Hall, Munger - BSPCB","14-02-2026 12:00:00",25.376776,86.471523,SO2,26,34,30
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","14-02-2026 12:00:00",26.11442,85.39813,PM2.5,44,127,89
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","14-02-2026 12:00:00",26.11442,85.39813,NO2,18,66,37
